grid_cell,naive_trend,corrected_trend,trend_diff,direction_flipped
56,1.1999999999999995,2.8307862158179424,1.630786215817943,FALSE
57,2.5999999999999996,3.2643110338342956,0.6643110338342959,FALSE
128,2.9,3.0961060453285145,0.1961060453285146,FALSE
198,3.6,3.4184708444477923,-0.18152915555220783,FALSE
199,9.799999999999995,3.4899751820755225,-6.310024817924473,FALSE
203,4.999999999999999,1.9036276413239859,-3.096372358676013,FALSE
270,10.8,3.347550494086137,-7.452449505913863,FALSE
271,9.900000000000002,3.468169644950986,-6.431830355049016,FALSE
272,1.7999999999999998,3.470361231211936,1.670361231211936,FALSE
274,0.19999999999999996,3.5144955276261274,3.3144955276261276,FALSE
276,2.2,2.8467840985862862,0.646784098586286,FALSE
341,5.4,3.4506932161897694,-1.949306783810231,FALSE
342,2.5999999999999996,2.6923208908776535,0.09232089087765383,FALSE
343,6.199999999999999,2.448422878623777,-3.751577121376222,FALSE
344,0.5999999999999998,2.9232680680540435,2.323268068054044,FALSE
345,0,3.376761581343977,3.376761581343977,TRUE
347,4.599999999999999,3.2116056372987325,-1.3883943627012663,FALSE
412,1.9999999999999998,3.247416743825676,1.2474167438256762,FALSE
413,7.4,3.6925520378532117,-3.7074479621467886,FALSE
414,9.2,3.6715709436827315,-5.528429056317268,FALSE
415,15.099999999999998,3.889293323350575,-11.210706676649423,FALSE
416,-4.999999999999999,3.888337050138909,8.888337050138908,TRUE
417,0,2.522121273120218,2.522121273120218,TRUE
418,4,2.589024567970985,-1.4109754320290149,FALSE
483,-2.9999999999999996,3.855723560817176,6.855723560817175,TRUE
484,7.9,3.638227600207367,-4.261772399792633,FALSE
485,0.900000000000002,3.645749456316703,2.745749456316701,FALSE
486,1.9999999999999998,3.930186960674464,1.9301869606744642,FALSE
487,8.4,3.776586099978096,-4.623413900021904,FALSE
554,12.1,3.911404128758208,-8.188595871241791,FALSE
555,10.999999999999998,3.879270036203896,-7.120729963796102,FALSE
556,11.999999999999995,3.7089523580730646,-8.29104764192693,FALSE
557,12.099999999999998,3.581920824231654,-8.518079175768344,FALSE
558,11.5,3.672887371966786,-7.827112628033214,FALSE
559,25.399999999999995,3.914217461430596,-21.4857825385694,FALSE
560,3.7999999999999994,3.7003536935432333,-0.09964630645676609,FALSE
561,1.8,2.2993360834312626,0.49933608343126257,FALSE
563,5.6,2.692418064547221,-2.9075819354527788,FALSE
564,1.3999999999999997,2.480952443727162,1.0809524437271623,FALSE
592,16.699999999999992,2.663234176727504,-14.03676582327249,FALSE
593,7.599999999999999,2.526209128774472,-5.073790871225526,FALSE
625,1.1999999999999995,2.4985250152512553,1.2985250152512557,FALSE
626,13.2,2.7442383708401783,-10.45576162915982,FALSE
627,1.3999999999999995,2.9092587675490234,1.5092587675490239,FALSE
628,13.899999999999999,2.7810376499990688,-11.11896235000093,FALSE
629,19.499999999999996,3.033622050649331,-16.466377949350665,FALSE
630,5.800000000000001,3.079760155067517,-2.720239844932484,FALSE
634,0,3.499219864419318,3.499219864419318,TRUE
635,4.999999999999999,2.9572599749024473,-2.042740025097552,FALSE
636,7.499999999999997,2.487732076807339,-5.012267923192658,FALSE
637,1.599999999999999,2.7657738317155984,1.1657738317155995,FALSE
640,6,3.1659718630200837,-2.8340281369799163,FALSE
663,8.799999999999999,2.3657267997490687,-6.43427320025093,FALSE
664,17.599999999999998,2.493486165618813,-15.106513834381184,FALSE
665,11.299999999999999,2.5264640406919563,-8.773535959308042,FALSE
666,5.599999999999998,2.489529705815541,-3.110470294184457,FALSE
696,0.5999999999999998,3.369458577828199,2.7694585778281993,FALSE
698,16.9,3.066609916723712,-13.833390083276287,FALSE
699,8.999999999999996,3.371134744025079,-5.628865255974917,FALSE
700,0.49999999999999994,3.2994852201941973,2.7994852201941973,FALSE
701,1.5999999999999996,3.4499939865942504,1.8499939865942507,FALSE
702,1.4,2.9528684559507874,1.5528684559507875,FALSE
704,2.2,2.794242171555693,0.5942421715556927,FALSE
705,3.6999999999999997,2.880544919099812,-0.8194550809001879,FALSE
706,3.1999999999999993,4.371480268657441,1.171480268657442,FALSE
708,2.7999999999999994,3.9361273683936773,1.136127368393678,FALSE
710,4.2,3.890935174432643,-0.30906482556735737,FALSE
711,13.399999999999999,3.9409913879532534,-9.459008612046745,FALSE
712,8.099999999999998,3.690444363326729,-4.409555636673269,FALSE
716,1.9999999999999998,3.8113851808895487,1.811385180889549,FALSE
717,5.999999999999999,3.4527952704994855,-2.5472047295005136,FALSE
735,5.999999999999999,2.3075852482500467,-3.6924147517499524,FALSE
736,18.9,2.5381848293407714,-16.361815170659227,FALSE
737,17.7,2.4696789562319577,-15.230321043768042,FALSE
738,19.799999999999994,2.5358578077568197,-17.264142192243174,FALSE
772,-1.800000000000001,2.8094037066009756,4.609403706600976,TRUE
773,4.4,2.9264068395087715,-1.473593160491229,FALSE
774,4.4,3.2445082324325156,-1.1554917675674847,FALSE
775,0.5999999999999998,3.1882603533651475,2.588260353365148,FALSE
776,3.9999999999999996,3.3661783968282553,-0.6338216031717443,FALSE
777,15.899999999999999,3.69898196231457,-12.20101803768543,FALSE
778,2.8,3.2320134321639613,0.4320134321639615,FALSE
