fraction,Df,R.square,adj_r2,Testable
[a] = X1 | X2+X3+X4,2,NA,0.03917831960417273,TRUE
[b] = X2 | X1+X3+X4,3,NA,0.013668333344530437,TRUE
[c] = X3 | X1+X2+X4,1,NA,0.005434218049255701,TRUE
[d] = X4 | X1+X2+X3,4,NA,0.1348160349113795,TRUE
[e],0,NA,0.01995120479758794,FALSE
[f],0,NA,0.0034780842347766905,FALSE
[g],0,NA,-0.0015439788572055857,FALSE
[h],0,NA,0.04251616477221498,FALSE
[i],0,NA,0.033989321250441074,FALSE
[j],0,NA,0.010268205006428999,FALSE
[k],0,NA,0.012953547130879262,FALSE
[l],0,NA,-0.0045714927803690575,FALSE
[m],0,NA,0.053812798538977136,FALSE
[n],0,NA,-0.012607614139038326,FALSE
[o],0,NA,-0.022019101194019064,FALSE
[p] = Residuals,0,NA,0.6706759553299876,FALSE
