grid_cell,metric,mk_S,mk_tau,mk_p
56,corrected_richness,10,1,0.02748633611151034
56,shannon,10,1,0.02748633611151034
56,inv_simpson,10,1,0.02748633611151034
56,trait_volume,0,0,1
56,trait_dispersion,0,0,1
56,rao_q,0,0,1
56,feve,10,1,0.02748633611151034
56,fdiv,6,0.6,0.2206713619198468
57,corrected_richness,10,1,0.02748633611151034
57,shannon,10,1,0.02748633611151034
57,inv_simpson,10,1,0.02748633611151034
57,trait_volume,0,0,1
57,trait_dispersion,0,0,1
57,rao_q,0,0,1
57,feve,10,1,0.02748633611151034
57,fdiv,8,0.8,0.08641073297370003
128,corrected_richness,10,1,0.02748633611151034
128,shannon,10,1,0.02748633611151034
128,inv_simpson,10,1,0.02748633611151034
128,trait_volume,0,0,1
128,trait_dispersion,2,0.2,0.8064959405073402
128,rao_q,2,0.2,0.8064959405073402
128,feve,10,1,0.02748633611151034
128,fdiv,0,0,1
198,corrected_richness,10,1,0.02748633611151034
198,shannon,10,1,0.02748633611151034
198,inv_simpson,10,1,0.02748633611151034
198,trait_volume,-2,-0.2,0.8064959405073402
198,trait_dispersion,-2,-0.2,0.8064959405073402
198,rao_q,-2,-0.2,0.8064959405073402
198,feve,10,1,0.02748633611151034
198,fdiv,8,0.8,0.08641073297370003
199,corrected_richness,10,1,0.02748633611151034
199,shannon,10,1,0.02748633611151034
199,inv_simpson,10,1,0.02748633611151034
199,trait_volume,-2,-0.2,0.8064959405073402
199,trait_dispersion,-2,-0.2,0.8064959405073402
199,rao_q,-2,-0.2,0.8064959405073402
199,feve,10,1,0.02748633611151034
199,fdiv,8,0.8,0.08641073297370003
203,corrected_richness,10,1,0.02748633611151034
203,shannon,10,1,0.02748633611151034
203,inv_simpson,10,1,0.02748633611151034
203,trait_volume,2,0.2,0.8064959405073402
203,trait_dispersion,2,0.2,0.8064959405073402
203,rao_q,4,0.4,0.4624327264504763
203,feve,8,0.8,0.08641073297370003
203,fdiv,-4,-0.4,0.4624327264504763
270,corrected_richness,10,1,0.02748633611151034
270,shannon,10,1,0.02748633611151034
270,inv_simpson,10,1,0.02748633611151034
270,trait_volume,0,0,1
270,trait_dispersion,0,0,1
270,rao_q,0,0,1
270,feve,10,1,0.02748633611151034
270,fdiv,6,0.6,0.2206713619198468
271,corrected_richness,10,1,0.02748633611151034
271,shannon,10,1,0.02748633611151034
271,inv_simpson,10,1,0.02748633611151034
271,trait_volume,-2,-0.2,0.8064959405073402
271,trait_dispersion,-2,-0.2,0.8064959405073402
271,rao_q,0,0,1
271,feve,10,1,0.02748633611151034
271,fdiv,8,0.8,0.08641073297370003
272,corrected_richness,10,1,0.02748633611151034
272,shannon,10,1,0.02748633611151034
272,inv_simpson,10,1,0.02748633611151034
272,trait_volume,0,0,1
272,trait_dispersion,0,0,1
272,rao_q,0,0,1
272,feve,10,1,0.02748633611151034
272,fdiv,8,0.8,0.08641073297370003
274,corrected_richness,10,1,0.02748633611151034
274,shannon,10,1,0.02748633611151034
274,inv_simpson,10,1,0.02748633611151034
274,trait_volume,-2,-0.2,0.8064959405073402
274,trait_dispersion,-4,-0.4,0.4624327264504763
274,rao_q,-4,-0.4,0.4624327264504763
274,feve,10,1,0.02748633611151034
274,fdiv,10,1,0.02748633611151034
276,corrected_richness,10,1,0.02748633611151034
276,shannon,10,1,0.02748633611151034
276,inv_simpson,10,1,0.02748633611151034
276,trait_volume,-4,-0.4,0.4624327264504763
276,trait_dispersion,-8,-0.8,0.08641073297370003
276,rao_q,-6,-0.6,0.2206713619198468
276,feve,6,0.6,0.2206713619198468
276,fdiv,8,0.8,0.08641073297370003
341,corrected_richness,10,1,0.02748633611151034
341,shannon,10,1,0.02748633611151034
341,inv_simpson,10,1,0.02748633611151034
341,trait_volume,-6,-0.6,0.2206713619198468
341,trait_dispersion,-4,-0.4,0.4624327264504763
341,rao_q,-4,-0.4,0.4624327264504763
341,feve,10,1,0.02748633611151034
341,fdiv,8,0.8,0.08641073297370003
342,corrected_richness,10,1,0.02748633611151034
342,shannon,10,1,0.02748633611151034
342,inv_simpson,10,1,0.02748633611151034
342,trait_volume,-2,-0.2,0.8064959405073402
342,trait_dispersion,2,0.2,0.8064959405073402
342,rao_q,4,0.4,0.4624327264504763
342,feve,10,1,0.02748633611151034
342,fdiv,-4,-0.4,0.4624327264504763
343,corrected_richness,10,1,0.02748633611151034
343,shannon,10,1,0.02748633611151034
343,inv_simpson,10,1,0.02748633611151034
343,trait_volume,4,0.4,0.4624327264504763
343,trait_dispersion,4,0.4,0.4624327264504763
343,rao_q,4,0.4,0.4624327264504763
343,feve,10,1,0.02748633611151034
343,fdiv,-6,-0.6,0.2206713619198468
344,corrected_richness,10,1,0.02748633611151034
344,shannon,10,1,0.02748633611151034
344,inv_simpson,10,1,0.02748633611151034
344,trait_volume,2,0.2,0.8064959405073402
344,trait_dispersion,4,0.4,0.4624327264504763
344,rao_q,4,0.4,0.4624327264504763
344,feve,10,1,0.02748633611151034
344,fdiv,-2,-0.2,0.8064959405073402
345,corrected_richness,10,1,0.02748633611151034
345,shannon,10,1,0.02748633611151034
345,inv_simpson,10,1,0.02748633611151034
345,trait_volume,-2,-0.2,0.8064959405073402
345,trait_dispersion,-2,-0.2,0.8064959405073402
345,rao_q,0,0,1
345,feve,10,1,0.02748633611151034
345,fdiv,6,0.6,0.2206713619198468
347,corrected_richness,10,1,0.02748633611151034
347,shannon,10,1,0.02748633611151034
347,inv_simpson,10,1,0.02748633611151034
347,trait_volume,0,0,1
347,trait_dispersion,0,0,1
347,rao_q,4,0.4,0.4624327264504763
347,feve,10,1,0.02748633611151034
347,fdiv,2,0.2,0.8064959405073402
412,corrected_richness,10,1,0.02748633611151034
412,shannon,10,1,0.02748633611151034
412,inv_simpson,10,1,0.02748633611151034
412,trait_volume,0,0,1
412,trait_dispersion,0,0,1
412,rao_q,0,0,1
412,feve,10,1,0.02748633611151034
412,fdiv,2,0.2,0.8064959405073402
413,corrected_richness,10,1,0.02748633611151034
413,shannon,10,1,0.02748633611151034
413,inv_simpson,10,1,0.02748633611151034
413,trait_volume,-2,-0.2,0.8064959405073402
413,trait_dispersion,-2,-0.2,0.8064959405073402
413,rao_q,-2,-0.2,0.8064959405073402
413,feve,10,1,0.02748633611151034
413,fdiv,8,0.8,0.08641073297370003
414,corrected_richness,10,1,0.02748633611151034
414,shannon,10,1,0.02748633611151034
414,inv_simpson,10,1,0.02748633611151034
414,trait_volume,0,0,1
414,trait_dispersion,0,0,1
